水稻	Rice
小麦	Wheat
玉米	Corn
大豆	Soybean
棉花	Cotton
油菜	Rapeseed
花生	Peanut
甘蔗	Sugarcane
马铃薯	Potato
甜菜	Sugar Beet
高粱	Sorghum
谷子	Millet
燕麦	Oat
大麦	Barley
黑麦	Rye
荞麦	Buckwheat
薏米	Job's Tears
芝麻	Sesame
向日葵	Sunflower
亚麻	Flax
苜蓿	Alfalfa
紫花苜蓿	Medicago Sativa
红三叶	Red Clover
白三叶	White Clover
黑麦草	Ryegrass
狼尾草	Foxtail Millet
高丹草	Sudan Grass
牧草	Forage
饲料作物	Fodder Crop
绿肥作物	Green Manure Crop
苹果	Apple
梨	Pear
桃	Peach
葡萄	Grape
柑橘	Citrus
香蕉	Banana
菠萝	Pineapple
草莓	Strawberry
西瓜	Watermelon
甜瓜	Melon
番茄	Tomato
辣椒	Pepper
茄子	Eggplant
黄瓜	Cucumber
西葫芦	Zucchini
南瓜	Pumpkin
豆角	Green Bean
豌豆	Pea
蚕豆	Broad Bean
莴苣	Lettuce
生菜	Leaf Lettuce
菠菜	Spinach
韭菜	Chive
大葱	Green Onion
大蒜	Garlic
洋葱	Onion
胡萝卜	Carrot
白萝卜	Radish
芹菜	Celery
花椰菜	Cauliflower
松树	Pine
杉树	Cedar
柏树	Cypress
杨树	Poplar
柳树	Willow
榆树	Elm
槐树	Locust Tree
桦树	Birch
栎树	Oak
枫树	Maple
樟树	Camphor Tree
楠木	Nanmu
红木	Rosewood
乌木	Ebony
紫檀	Sandalwood
黄花梨	Huanghuali
花梨木	Huali Wood
柚木	Teak
桃花心木	Mahogany
胡桃木	Walnut Wood
竹子	Bamboo
毛竹	Moso Bamboo
楠竹	Nan Bamboo
箭竹	Arrow Bamboo
苦竹	Bitter Bamboo
刚竹	Solid Bamboo
慈竹	Ci Bamboo
斑竹	Spotted Bamboo
紫竹	Purple Bamboo
方竹	Square Bamboo
耕作	Tillage
播种	Sowing
施肥	Fertilization
灌溉	Irrigation
排水	Drainage
除草	Weeding
病虫害防治	Pest Control
收获	Harvesting
储藏	Storage
加工	Processing
乌木高效	Ebony Efficient
松树远程	Pine Remote
白萝卜综合	Radish Comprehensive
蚕豆新型	Broad Bean Novel
香蕉移动	Banana Mobile
甜菜关键	Sugar Beet Key
樟树传统	Camphor Tree Traditional
